Titre,mots clés,labs,Description,émergence féminismes,émergence humanlab,futurs désirables,Personne,LienRessource,Date,image
"La 3D numérique, notions de base","3D,code créatif,jeu vidéo",randomlab,"Découvrir la 3D : qui en fait et pour quel type de production. Elle nous entoure, nous l'explorons dans les films et les jeux vidéos. Allons voir de plus près ce qu'il en est.",false,false,true,Alexandre,,2023-03-21,
Sweet Home 3D,"3D,logiciel,vie privée",randomlab,"Présentation du logiciel «Sweet Home 3D» et de son utilisation. Ce logiciel libre aide à l'aménagement d'un logement sur un plan en 2D, avec une prévisualisation immédiate en 3D. Une belle occasion d'organiser son déménagement !",false,false,true,Élouan,,2023-03-28,
Les étapes de fabrication d'un film d'animation en 3D,"3D,art,image",randomlab,"Sans rentrer dans les détails d'un logiciel, présentation des principes généraux de créalisation d'un film d'animation en 3D",false,false,true,Alexandre,,2023-04-04,
Curiosité surprise,,randomlab,"Une surprise donc, présentée par Jumbef",false,false,false,Jumbef,,2023-04-11,
Shein et la fast fashion,"web,e-textile",textilelab,Quels changements pour l'industrie textile ?,true,false,false,Rozenn,,2023-04-18,
Chat GPT,"machine learning,algorithme,intelligence artificielle","codelab,randomlab","ChatGPT a enflammé les média, quelques éléments pour se faire une idée sur ces modèles d'IA générative qui envahissent le paysage",false,false,true,emoc,,2023-04-25,
Hybridation 2D / 3D dans les films d'animation et les jeux vidéo,"3D,jeu vidéo,art,image",randomlab,Comment et pourquoi des artistes hybrident 2D et 3D dans des productions audiovisuelles.,false,false,false,Alexandre,,2023-05-02,
Tech et mode,"internet,e-textile","textilelab,randomlab",Usages uniques ou terre à terre : ce qui a vraiment marché,false,false,false,Rozenn,,2023-05-16,
Visualiser l'ensemble de Mandelbrot,graphisme,randomlab,Voyage au pays des fractales,false,false,false,Nicolas,,2023-05-23,
Collages avec GIMP,"photo,image,gimp",printlab,Utiliser le logiciel GIMP pour réaliser des collages numériques,false,false,false,Agnès,,2023-05-30,
"Reconnaissance vocale en Breton, version 2.0","logiciel,communication",randomlab,Où en est on sur les technologies de traitement du langage en breton?,false,false,true,Gweltou,,2023-06-06,
"Calafou, voyage au TransHackFeminist","communauté,féminisme,démontage,hacker,cyberféminisme",MintSpace,Retour de voyage aux rencontres TranshHackFeminist à Calafou (Catalogne). Cette curiosité sera complétée par une présentation du réseau MakeHerSpace,true,false,false,Laure,,2023-06-13,
