Titre,mots clés,labs,Description,émergence féminismes,émergence humanlab,futurs désirables,Personne,LienRessource,Date,image
Jeu vidéo,jeu vidéo,randomlab,,false,false,true,Yann Le Doaré,,2021-09-21,
Art génératif et systèmes complexes,"interactif,art,code créatif,algorithme",codelab,"Découverte de différents systèmes génératifs capable de créer des œuvres.  Je m'attarde sur l'étude des systèmes ""complexes"" tels que les systèmes chaotiques, la vie artificielle ou l'art évolutionnaire.",false,false,true,Alexandre,,2021-11-09,
Bricolage tricot,"tricot-machine,textile numérique",textilelab,Exploration des pratiques de tricot au sein du fablab : tricot main et tricot machine / logiciel de programmation et de tramage !,false,false,false,Laure,,2021-11-16,
Femmes & Numérique / Don't Panic,"communauté,féminisme",randomlab,"Présentation du réseau Femmes et numérique à Quimper + présentation du projet Don't Panic, briser les barrière d'accès au numérique pour les femmes",true,false,false,Laure,,2021-12-14,
Science Fiction Fantasy Fantastique,"art,culture",bibliothèque des imaginaires,,false,false,false,La 29e dimension,,2022-04-26,
Voyage du Fluxbus,fablab,randomlab,,true,true,true,emoc,,2022-05-11,
IA et breton,"communauté,intelligence artificielle",randomlab,,false,false,true,Gweltou,,2022-05-31,
